name,division,date_fallen,description,english_name,image_url,location,job,tag,custom-number,formatted_fallen_date,rank
אחסאן דקסה,עוצבת עקבות הברזל (401),"נפל בי""ח בתשרי התשפ""ה (20 באוקטובר 2024)","אל""ם אחסאן דקסה, מדאלית אל-כרמל, מפקד עוצבת 'עקבות הברזל' (401), אוגדה 162, נפל בקרב בצפון רצועת עזה, בן 41 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Colonel Ehsan Daxa z""l",,https://idf.il/media/5iggkdus/אחסאן-3.jpg,דאלית אל-כרמל,מפקד עוצבת 'עקבות הברזל' (401),נפל בקרב בצפון רצועת עזה,41,2024-01-20,"אל""ם"
"רס""ם  ישי (נתנאל) גרינבאום",חטיבת אלון (228),"נפל בט""ז בתשרי התשפ""ה (18 באוקטובר 2024)","רס""ם (במיל') ישי (נתנאל) גרינבאום, מלוד, סמל מחלקה בגדוד 5030, חטיבת אלון (228), נפטר מפצעיו לאחר שנפצע באורח קשה בתאריך 9.10.2024 בקרב בדרום לבנון, בן 38 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant major (res.) Yishai (Netanel) Greenbaum z""l",,https://idf.il/media/amans2lv/whatsapp-image-2024-10-19-at-21-11-18.jpeg,לוד,סמל מחלקה בגדוד 5030,,38,2024-01-18,
"סמ""ר אופיר ברקוביץ'",עוצבת עקבות הברזל (401),"נפל בי""ז בתשרי התשפ""ה (19 באוקטובר 2024)","סמ""ר אופיר ברקוביץ', ממודיעין-מכבים-רעות, לוחם שריון בגדוד 52, עוצבת 'עקבות הברזל' (401), נפל בקרב בצפון רצועת עזה, בן 20 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Ofir Berkovich z""l",,https://idf.il/media/5mujjogd/whatsapp-image-2024-10-19-at-14-29-12.jpeg,מודיעין-מכבים-רעות,לוחם שריון בגדוד 52,נפל בקרב בצפון רצועת עזה,20,2024-01-19,
אלישי יונג,עוצבת עקבות הברזל (401),"נפל בי""ז בתשרי התשפ""ה (19 באוקטובר 2024)","סמל אלישי יונג, מדימונה, לוחם שריון בגדוד 52, עוצבת 'עקבות הברזל' (401), נפל בקרב בצפון רצועת עזה, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Elishai Young z""l",,https://idf.il/media/vgodbt3z/whatsapp-image-2024-10-19-at-16-21-53.jpeg,דימונה,לוחם שריון בגדוד 52,נפל בקרב בצפון רצועת עזה,19,2024-01-19,סמל
"סמ""ר יהודה דרור יהלום",חטיבת גולני,"נפל בי""ד בתשרי התשפ""ה (16 באוקטובר 2024)","סמ""ר יהודה דרור יהלום, מחברון, לוחם בסיירת גולני, נפל בקרב בדרום לבנון, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Yehudah Dror Yahalom z""l",,https://idf.il/media/v4innfcl/יהודה-דרור-יהלום.jpeg,חברון,לוחם בסיירת גולני,נפל בקרב בדרום לבנון,21,2024-01-16,
אלעד סימן טוב,חטיבת גולני,"נפל בי""ד בתשרי התשפ""ה (16 באוקטובר 2024)","סרן אלעד סימן טוב, מצופים, מפקד צוות בסיירת גולני, נפל בקרב בדרום לבנון, בן 23 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Elad Siman Tov z""l",,https://idf.il/media/ncyhcupg/אלעד-סימן-טוב-זל.jpeg,צופים,מפקד צוות בסיירת גולני,נפל בקרב בדרום לבנון,23,2024-01-16,סרן
"סמ""ר אלישיב איתן וידר",חטיבת גולני,"נפל בי""ד בתשרי התשפ""ה (16 באוקטובר 2024)","סמ""ר אלישיב איתן וידר, מירושלים, מפקד כיתה בסיירת גולני, נפל בקרב בדרום לבנון, בן 22 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Elyashiv Eitan Wieder z""l",,https://idf.il/media/phnhtjkx/whatsapp-image-2024-10-17-at-23-16-04.jpeg,ירושלים,מפקד כיתה בסיירת גולני,נפל בקרב בדרום לבנון,22,2024-01-16,
"סמ""ר יעקב הלל",חטיבת גולני,"נפל בי""ד בתשרי התשפ""ה (16 באוקטובר 2024)","סמ""ר יעקב הלל, מירושלים, לוחם בסיירת גולני, נפל בקרב בדרום לבנון, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Yakov Hillel z""l",,https://idf.il/media/puzbsypy/יעקב-הלל-זל.jpeg,ירושלים,לוחם בסיירת גולני,נפל בקרב בדרום לבנון,21,2024-01-16,
"רס""ן אופק בכר",חטיבת גולני,"נפל בי""ד בתשרי התשפ""ה (16 באוקטובר 2024)","רס""ן אופק בכר, מנס ציונה, מפקד פלוגה בסיירת גולני, נפל בקרב בדרום לבנון, בן 24 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סרן לדרגת רס""ן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Major Ofek Bachar z""l",,https://idf.il/media/undhrb2j/אופק-בכר-זל.jpeg,נס ציונה,מפקד פלוגה בסיירת גולני,נפל בקרב בדרום לבנון,24,2024-01-16,
קורן ביתן,חטיבת כפיר,"נפל בי""ב בתשרי התשפ""ה (14 באוקטובר 2024)","סמל קורן ביתן, מראש העין, לוחם בגדוד 450 (הכשרת מפקדי כיתות) של חטיבת ביסל""ח, שירת כלוחם בגדוד דוכיפת (94), חטיבת כפיר, נפל בקרב בדרום רצועת עזה, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Koren Bitan z""l",,https://idf.il/media/e00jm3ql/קורן-ביתן-זל.jpeg,ראש העין,"לוחם בגדוד 450 (הכשרת מפקדי כיתות) של חטיבת ביסל""ח",נפל בקרב בדרום רצועת עזה,19,2024-01-14,סמל
אמיתי אלון,חטיבת גולני,"נפל בי""א בתשרי התשפ""ה (13 באוקטובר 2024)","סמל אמיתי אלון, מרמות נפתלי, חייל בהכשרת לוחמי חי""ר, בא""ח גולני, חטיבת גולני, נפל כתוצאה מפגיעת כטב""ם, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Amitai Alon z""l",,https://idf.il/media/wcqfip2s/אלון-אמיתי.jpg,רמות נפתלי,"חייל בהכשרת לוחמי חי""ר","נפל כתוצאה מפגיעת כטב""ם",19,2024-01-13,סמל
יוסף הייב,חטיבת גולני,"נפל בי""א בתשרי התשפ""ה (13 באוקטובר 2024)","סמל יוסף הייב, מטובא זנגריה, חייל בהכשרת לוחמי חי""ר, בא""ח גולני, חטיבת גולני, נפל כתוצאה מפגיעת כטב""ם, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Yosef Hieb z""l",,https://idf.il/media/ktijgbqa/יוסף-הייב.jpg,טובא זנגריה,"חייל בהכשרת לוחמי חי""ר","נפל כתוצאה מפגיעת כטב""ם",19,2024-01-13,סמל
יואב אגמון,חטיבת גולני,"נפל בי""א בתשרי התשפ""ה (13 באוקטובר 2024)","סמל יואב אגמון, מבנימינה גבעת עדה, חייל בהכשרת לוחמי חי""ר, בא""ח גולני, חטיבת גולני, נפל כתוצאה מפגיעת כטב""ם, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Yoav Agmon z""l",,https://idf.il/media/0xdfo5h4/יואב-אגמון.jpg,בנימינה גבעת עדה,"חייל בהכשרת לוחמי חי""ר","נפל כתוצאה מפגיעת כטב""ם",19,2024-01-13,סמל
עומרי תמרי,חטיבת גולני,"נפל בי""א בתשרי התשפ""ה (13 באוקטובר 2024)","סמל עומרי תמרי, ממזכרת בתיה, חייל בהכשרת לוחמי חי""ר, בא""ח גולני, חטיבת גולני, נפל כתוצאה מפגיעת כטב""ם, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Omri Tamari z""l",,https://idf.il/media/elqjbi2g/עומרי-תמרי.jpg,מזכרת בתיה,"חייל בהכשרת לוחמי חי""ר","נפל כתוצאה מפגיעת כטב""ם",19,2024-01-13,סמל
"סמ""ר איתי פוגל",עוצבת עקבות הברזל (401),"נפל בט' בתשרי התשפ""ה (11 באוקטובר 2024)","סמ""ר איתי פוגל, מיקיר, מפקד טנק בגדוד 46, עוצבת ׳עקבות הברזל׳ (401), נפל בקרב בדרום רצועת עזה, בן 22 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Ittai Fogel z""l",,https://idf.il/media/0ohjd4e5/איתי-פוגל-זל.jpeg,יקיר,מפקד טנק בגדוד 46,נפל בקרב בדרום רצועת עזה,22,2024-01-11,
צבי מתתיהו מרנץ,עוצבת בני-אור (460),"נפל בח' בתשרי התשפ""ה (10 באוקטובר 2024)","רס""ר (במיל') צבי מתתיהו מרנץ, מבני אדם, מפקד כיתה ביחידת סיוע מנהלתי 5460, עוצבת 'בני-אור' (460), נפל בקרב בצפון רצועת עזה, בן 32 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Master sergeant (res.) Marantz Tzvi Matityahu z""l",,https://idf.il/media/vx3fm3g5/whatsapp-image-2024-10-10-at-20-03-14.jpeg,בני אדם,מפקד כיתה ביחידת סיוע מנהלתי 5460,נפל בקרב בצפון רצועת עזה,32,2024-01-10,"רס""ר"
"רס""ן  נתנאל הרשקוביץ",עוצבת בני-אור (460),"נפל בח' בתשרי התשפ""ה (10 באוקטובר 2024)","רס""ן (במיל') נתנאל הרשקוביץ, מירושלים, סגן מפקד פלוגה ביחידת סיוע מנהלתי 5460, עוצבת 'בני-אור' (460), נפל בקרב בצפון רצועת עזה, בן 37 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Major (res.) Netanel Hershkovitz z""l",,https://idf.il/media/zcxjvjl1/whatsapp-image-2024-10-25-at-12-37-03.jpeg,ירושלים,סגן מפקד פלוגה ביחידת סיוע מנהלתי 5460,נפל בקרב בצפון רצועת עזה,37,2024-01-10,
אורי משה בורנשטיין,עוצבת בני-אור (460),"נפל בח' בתשרי התשפ""ה (10 באוקטובר 2024)","רס""ר (במיל') אורי משה בורנשטיין, ממורשת, מפקד אכזרית ביחידת סיוע מנהלתי 5460, עוצבת 'בני-אור' (460), נפל בקרב בצפון רצועת עזה, בן 32 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Master sergeant (res.) Ori Moshe Borenstein z""l",,https://idf.il/media/r0cjb41c/whatsapp-image-2024-10-10-at-20-08-06.jpeg,מורשת,מפקד אכזרית ביחידת סיוע מנהלתי 5460,נפל בקרב בצפון רצועת עזה,32,2024-01-10,"רס""ר"
"רס""ם  רוני גניזת",חטיבת אלון (228),"נפל בז' בתשרי התשפ""ה (09 באוקטובר 2024)","רס""ם (במיל') רוני גניזת, מגבעת שמואל, לוחם בגדוד 5030, חטיבת אלון (228), נפל בקרב בדרום לבנון, בן 36 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant major (res.) Ronny Ganizate z""l",,https://idf.il/media/qvedzfqj/רוני-גניזט.jpeg,גבעת שמואל,לוחם בגדוד 5030,נפל בקרב בדרום לבנון,36,2024-01-09,
"סמ""ר נועם ישראל עבדו",חטיבת גולני,"נפל בה' בתשרי התשפ""ה (07 באוקטובר 2024)","סמ""ר נועם ישראל עבדו, מקדימה צורן, לוחם בגדוד 17 (הכשרת מפקדי כיתות) של חטיבת ביסל""ח, שירת כלוחם בגדוד 12, חטיבת גולני, נפל בקרב בצפון רצועת עזה, בן 20 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergent Noam Israel Abdu z""l",,https://idf.il/media/5fqddkdo/64593232-bd61-4c9f-b8cf-d3690f042c63.jpeg,קדימה צורן,"לוחם בגדוד 17 (הכשרת מפקדי כיתות) של חטיבת ביסל""ח",נפל בקרב בצפון רצועת עזה,20,2024-01-07,
אביב מגן,יחידת הניוד 5515,"נפל בה' בתשרי התשפ""ה (07 באוקטובר 2024)","רס""ב (במיל') אביב מגן, מחירות, לוחם ביחידת הניוד 5515, נפטר מפצעיו לאחר שנפצע באורח קשה בתאריך 6.10.2024 בקרב בדרום לבנון. בן 43 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רס""ם (במיל') לדרגת רס""ב (במיל') לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Warrant officer (res.) Aviv Magen z""l",,https://idf.il/media/v25fmbes/candle.png,חירות,לוחם ביחידת הניוד 5515,,43,2024-01-07,"רס""ב"
איתי אזולאי,יחידת הניוד 5515,"נפל בד' בתשרי התשפ""ה (06 באוקטובר 2024)","רס""ר (במיל') איתי אזולאי, מאורנית, לוחם ביחידת הניוד 5515, נפל בקרב בגבול לבנון, בן 25 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Master sergeant (res.) Etay Azulay z""l",,https://idf.il/media/dt0ndaoo/איתי-אזולי-זל.jpeg,אורנית,לוחם ביחידת הניוד 5515,נפל בקרב בגבול לבנון,25,2024-01-06,"רס""ר"
ניר חדד,חטיבת הזקן (8),"נפל בד' בתשרי התשפ""ה (06 באוקטובר 2024)","רס""ל (במיל') ניר חדד, מפתח תקווה, לוחם בגדוד חש""ן 129, חטיבה 8, נפטר מפצעיו לאחר שנפצע באורח קשה ב-15.6.2024 בקרב בצפון רצועת עזה, בן 28 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמ""ר (במיל') לדרגת רס""ל (במיל') לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class (res.) Nir Hadad z""l",,https://idf.il/media/rscnr2hk/רסל-ניר-חדד-זל.jpeg,פתח תקווה,"לוחם בגדוד חש""ן 129",,28,2024-01-06,"רס""ל"
"רב""ט טל דרור",חטיבת גולני,"נפל בא' בתשרי התשפ""ה (03 באוקטובר 2024)","רב""ט טל דרור, מירושלים, מש""ק תקשוב בגדוד 13, חטיבת גולני, נפל בלחימה בצפון, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת טוראי לדרגת רב""ט לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Corporal Tal Dror z""l",,https://idf.il/media/av2cunvu/whatsapp-image-2024-10-04-at-16-33-35-1.jpeg,ירושלים,"מש""ק תקשוב בגדוד 13",נפל בלחימה בצפון,19,2024-01-03,
דניאל אביב חיים סופר,חטיבת גולני,"נפל בא' בתשרי התשפ""ה (03 באוקטובר 2024)","סמל דניאל אביב חיים סופר, מאשקלון, חניך במסלול ייעודי לקצונת קשר""גים בגדוד 13, חטיבת גולני, נפל בלחימה בצפון, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Daniel Aviv Haim Sofer z""l",,https://idf.il/media/sh4fhpnd/whatsapp-image-2024-10-04-at-16-33-35.jpeg,אשקלון,"חניך במסלול ייעודי לקצונת קשר""גים בגדוד 13",נפל בלחימה בצפון,19,2024-01-03,סמל
בן ציון פלח,חטיבת הצנחנים,"נפל בכ""ט באלול התשפ""ד (02 באוקטובר 2024)","סרן בן ציון פלח, מניצני עוז, קצין לוחם בגדוד 202, חטיבת הצנחנים, נפל בקרב בדרום לבנון, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Ben Zion Falach z""l",,https://idf.il/media/gk2fqppq/בן-ציון-פלח-זל.jpeg,ניצני עוז,קצין לוחם בגדוד 202,נפל בקרב בדרום לבנון,21,2024-01-02,סרן
נזר איטקין,עוצבת הקומנדו,"נפל בכ""ט באלול התשפ""ד (02 באוקטובר 2024)","רס""ל נזר איטקין, מקריית אתא, לוחם ביחידת אגוז, עוצבת הקומנדו, נפל בקרב בדרום לבנון, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמ""ר לדרגת רס""ל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class Nazar Itkin z""l",,https://idf.il/media/prpfatui/נזר-איטקין-2.jpeg,קריית אתא,לוחם ביחידת אגוז,נפל בקרב בדרום לבנון,21,2024-01-02,"רס""ל"
אור מנצור,עוצבת הקומנדו,"נפל בכ""ט באלול התשפ""ד (02 באוקטובר 2024)","רס""ל אור מנצור, מבית אריה, לוחם ביחידת אגוז, עוצבת הקומנדו, נפל בקרב בדרום לבנון, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class Or Mantzur z""l",,https://idf.il/media/t5mhlubn/אור-מנצור.jpeg,בית אריה,לוחם ביחידת אגוז,נפל בקרב בדרום לבנון,21,2024-01-02,"רס""ל"
"סמ""ר עלמקאן טרפה",חטיבת גולני,"נפל בכ""ט באלול התשפ""ד (02 באוקטובר 2024)","סמ""ר עלמקאן טרפה, מירושלים, לוחם בסיירת גולני, חטיבת גולני, נפל בקרב בדרום לבנון, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergent Almken Terefe z""l",,https://idf.il/media/xejl2ryt/whatsapp-image-2024-10-02-at-17-20-56.jpeg,ירושלים,לוחם בסיירת גולני,נפל בקרב בדרום לבנון,21,2024-01-02,
איתי אריאל גיאת,חיל ההנדסה הקרבית,"נפל בכ""ט באלול התשפ""ד (02 באוקטובר 2024)","סרן איתי אריאל גיאת, משוהם, קצין בחיל ההנדסה הקרבית ביחידת יהל""ם, נפל בקרב בדרום לבנון, בן 23 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Itai Ariel Giat z""l",,https://idf.il/media/uz3np2wz/איתי-אריאל-גיאת.jpeg,שוהם,"קצין בחיל ההנדסה הקרבית ביחידת יהל""ם",נפל בקרב בדרום לבנון,23,2024-01-02,סרן
"סמ""ר עידו ברויר",חטיבת גולני,"נפל בכ""ט באלול התשפ""ד (02 באוקטובר 2024)","סמ""ר עידו ברויר, מנס ציונה, לוחם בסיירת גולני, חטיבת גולני, נפל בקרב בדרום לבנון, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergent Ido Broyer z""l",,https://idf.il/media/nznfvuly/whatsapp-image-2024-10-02-at-17-10-38.jpeg,נס ציונה,לוחם בסיירת גולני,נפל בקרב בדרום לבנון,21,2024-01-02,
הראל אטינגר,עוצבת הקומנדו,"נפל בכ""ט באלול התשפ""ד (02 באוקטובר 2024)","סרן הראל אטינגר, מעלי, מפקד צוות ביחידת אגוז, עוצבת הקומנדו, נפל בקרב בדרום לבנון, בן 23 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Harel Etinger z""l",,https://idf.il/media/hg3lydye/harel-etinger.jpeg,עלי,מפקד צוות ביחידת אגוז,נפל בקרב בדרום לבנון,23,2024-01-02,סרן
איתן יצחק אוסטר,עוצבת הקומנדו,"נפל בכ""ט באלול התשפ""ד (02 באוקטובר 2024)","סרן איתן יצחק אוסטר, ממודיעין-מכבים-רעות, מפקד צוות ביחידת אגוז, עוצבת הקומנדו, נפל בקרב בדרום לבנון, בן 22 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Eitan Itzhak Oster z""l",,https://idf.il/media/qhpdvmln/איתן-יצחק-אוסטר.jpeg,מודיעין-מכבים-רעות,מפקד צוות ביחידת אגוז,נפל בקרב בדרום לבנון,22,2024-01-02,סרן
נועם ברזילי,עוצבת הקומנדו,"נפל בכ""ט באלול התשפ""ד (02 באוקטובר 2024)","רס""ל נועם ברזילי, מכוכב יאיר, לוחם ביחידת אגוז, עוצבת הקומנדו, נפל בקרב בדרום לבנון, בן 22 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class Noam Barzilay z""l",,https://idf.il/media/sg3k3uly/נועם-ברזילי.jpeg,כוכב יאיר,לוחם ביחידת אגוז,נפל בקרב בדרום לבנון,22,2024-01-02,"רס""ל"
"רס""ן  נאיל פוארסה",עוצבת ברעם (300),"נפל בט""ז באלול התשפ""ד (19 בספטמבר 2024)","רס""ן (במיל') נאיל פוארסה, ממגאר, מפקד פלוגת מפקדה בגדוד 'חרב' (299), 'עוצבת ברעם' (300), חיל הלוגיסטיקה, נפל בלחימה בצפון, בן 43 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Major (res.) Nael Fwarsy z""l",,https://idf.il/media/ioclny4n/נאיל-זל.jpg,מגאר,מפקד פלוגת מפקדה בגדוד 'חרב' (299),נפל בלחימה בצפון,43,2024-01-19,
תומר קרן,חטיבת גולני,"נפל בט""ז באלול התשפ""ד (19 בספטמבר 2024)","סמל תומר קרן, מחיפה, לוחם בגדוד 51, חטיבת גולני, נפל בלחימה בצפון, בן 20 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Tomer Keren z""l.",.,https://idf.il/media/a3wk3ohh/תומר-קרן-זל.jpg,חיפה,לוחם בגדוד 51,נפל בלחימה בצפון,20,2024-01-19,סמל
"סמ""ר דותן שמעון",חטיבת גבעתי,"נפל בי""ד באלול התשפ""ד (17 בספטמבר 2024)","סמ""ר דותן שמעון, מאלעזר, לוחם בגדוד שקד, חטיבת גבעתי, נפל בקרב בדרום רצועת עזה, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergent Dotan Shimon z""l",,https://idf.il/media/c3jdone2/dotan-shimon.jpeg,אלעזר,לוחם בגדוד שקד,נפל בקרב בדרום רצועת עזה,21,2024-01-17,
"סמ""ר עמית באכרי",חטיבת גבעתי,"נפל בי""ד באלול התשפ""ד (17 בספטמבר 2024)","סמ""ר עמית באכרי, מיושביה, לוחם בגדוד שקד, חטיבת גבעתי, נפל בקרב בדרום רצועת עזה, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergent Amit Bakri z""l",,https://idf.il/media/1ssfttml/amit-bakri.jpeg,יושביה,לוחם בגדוד שקד,נפל בקרב בדרום רצועת עזה,21,2024-01-17,
"סמ""ר אגם נעים",עוצבת עקבות הברזל (401),"נפלה בי""ד באלול התשפ""ד (17 בספטמבר 2024)","סמ""ר אגם נעים, ממשמרות, פרמדיקית בגדוד 52, עוצבת 'עקבות הברזל' (401), נפלה בקרב בדרום רצועת עזה, בת 20 בנופלה.

הודעה נמסרה למשפחתה.

הועלתה מדרגת סמל לדרגת סמ""ר לאחר מותה.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergent Agam Naim z""l",,https://idf.il/media/kzsnrbx1/agam-naim.jpeg,משמרות,פרמדיקית בגדוד 52,נפלה בקרב בדרום רצועת עזה,20,2024-01-17,
דניאל מימון טואף,חטיבת גבעתי,"נפל בי""ד באלול התשפ""ד (17 בספטמבר 2024)","סרן דניאל מימון טואף, ממורשת, סגן מפקד פלוגה בגדוד שקד, חטיבת גבעתי, נפל בקרב בדרום רצועת עזה, בן 23 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Daniel Mimon Toaff z""l",,https://idf.il/media/pjhj1ypi/daniel-mimon-toaff.jpeg,מורשת,סגן מפקד פלוגה בגדוד שקד,נפל בקרב בדרום רצועת עזה,23,2024-01-17,סרן
"סמ""ר גרי גדעון הנגהל",חטיבת כפיר,"נפל בח' באלול התשפ""ד (11 בספטמבר 2024)","סמ""ר גרי גדעון הנגהל, בן 24, מנוף הגליל, לוחם בגדוד נחשון (90), חטיבת כפיר, נפל במהלך פעילות מבצעית במרחב חטיבת בנימין.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Geri Gideon Hanghal z""l",,https://idf.il/media/wviam2du/gideon-zamsuanmong-hanghal.jpeg,בן 24,מנוף הגליל,נפל במהלך פעילות מבצעית במרחב חטיבת בנימין.,24,2024-01-11,
"רס""ם  דניאל אלוש",היחידה הטקטית לחילוץ מיוחד (669),"נפל בח' באלול התשפ""ד (11 בספטמבר 2024)","רס""ם (במיל') דניאל אלוש, מתל אביב-יפו, לוחם ביחידה הטקטית לחילוץ מיוחד (669), נפל בקרב בדרום רצועת עזה, בן 37 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant major (res.) Daniel Alloush z""l",,https://idf.il/media/3ksbu3je/דניאל-אלוש-זל.jpeg,תל אביב-יפו,לוחם ביחידה הטקטית לחילוץ מיוחד (669),נפל בקרב בדרום רצועת עזה,37,2024-01-11,
"רס""ם  תום איש-שלום",היחידה הטקטית לחילוץ מיוחד (669),"נפל בח' באלול התשפ""ד (11 בספטמבר 2024)","רס""ם (במיל') תום איש-שלום, מנס הרים, לוחם ביחידה הטקטית לחילוץ מיוחד (669), נפל בקרב בדרום רצועת עזה, בן 38 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant major (res.) Tom Ish-Shalom z""l",,https://idf.il/media/gdumrfp2/רסם-מיל-תום-איש-שלום-זל.jpeg,נס הרים,לוחם ביחידה הטקטית לחילוץ מיוחד (669),נפל בקרב בדרום רצועת עזה,38,2024-01-11,
